winner,winner score,loser score,strategy,opponent,hand,length
AI-origin,280,283,"[2, 3, 0, 2, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 2]",3 4 5 6 6 7 7 7 7 7 8 8 10 J J J Q K K A 2 2,16,best
AI-origin,280,283,"[1, 3, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",6 7 7 7 7 8 8 10 J J J Q K A 2 2,11,pass
AI-origin,280,283,"[1, 3, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 2]",6 7 7 7 7 8 8 10 J J J Q K A 2 2,9,best
AI-origin,280,283,"[1, 2, 0, 1, 0, 1, 0, 0]","[1, 2, 0, 1, 0, 0, 0, 2]",6 7 7 7 7 10 J J J Q K A 2 2,7,best
AI-origin,280,283,"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 2, 0, 2, 0, 0, 0, 2]",6 7 7 7 7 2 2,2,best
AI-origin,280,283,"[0, 1, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 2, 0, 0, 0, 2]",2 2,1,best
AI-origin,304,281,"[3, 3, 0, 0, 0, 2, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 4 5 5 6 7 8 8 9 10 10 10 J J Q Q Q K K K K A A,22,best
AI-origin,304,281,"[3, 3, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 2]",4 4 4 4 5 5 6 7 8 8 9 J J Q Q Q K K K K A A,17,pass
AI-origin,304,281,"[3, 3, 0, 0, 0, 2, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 2]",4 4 4 4 5 5 6 7 8 8 9 J J Q Q Q K K K K A A,16,best
AI-origin,304,281,"[2, 3, 0, 0, 0, 2, 0, 1]","[2, 0, 0, 0, 0, 0, 0, 2]",4 4 4 4 5 5 7 8 8 9 J J Q Q Q K K K K A A,15,best
AI-origin,304,281,"[1, 3, 0, 0, 0, 2, 0, 1]","[3, 0, 0, 0, 0, 0, 0, 2]",4 4 4 4 5 5 7 8 8 J J Q Q Q K K K K A A,14,pass
AI-origin,304,281,"[1, 3, 0, 0, 0, 2, 0, 1]","[4, 0, 0, 0, 0, 0, 0, 2]",4 4 4 4 5 5 7 8 8 J J Q Q Q K K K K A A,13,best
AI-origin,304,281,"[0, 3, 0, 0, 0, 2, 0, 1]","[4, 0, 0, 0, 0, 1, 0, 2]",4 4 4 4 5 5 8 8 J J Q Q Q K K K K A A,9,best
AI-origin,304,281,"[0, 2, 0, 0, 0, 1, 0, 0]","[4, 1, 0, 0, 0, 1, 0, 2]",4 4 4 4 J J A A,7,best
AI-origin,304,281,"[0, 1, 0, 0, 0, 0, 0, 0]","[4, 2, 0, 0, 0, 1, 0, 2]",A A,5,best
tree-v4,270,299,"[2, 4, 0, 0, 0, 0, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 4 4 5 6 6 7 7 9 9 10 10 10 J J J Q Q K K K A A A 2 2,22,pass
tree-v4,270,299,"[2, 4, 0, 0, 0, 0, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 2]",3 4 4 4 5 6 6 7 7 9 9 10 10 10 J J J Q Q K K K A A A 2 2,17,pass
tree-v4,270,299,"[2, 4, 0, 0, 0, 0, 2, 1]","[1, 0, 0, 0, 0, 0, 0, 2]",3 4 4 4 5 6 6 7 7 9 9 10 10 10 J J J Q Q K K K A A A 2 2,16,best
tree-v4,270,299,"[1, 4, 0, 0, 0, 0, 2, 1]","[2, 0, 0, 0, 0, 0, 0, 2]",3 4 4 4 6 6 7 7 9 9 10 10 10 J J J Q Q K K K A A A 2 2,15,pass
tree-v4,270,299,"[1, 4, 0, 0, 0, 0, 2, 1]","[2, 1, 0, 0, 0, 0, 0, 2]",3 4 4 4 6 6 7 7 9 9 10 10 10 J J J Q Q K K K A A A 2 2,13,best
tree-v4,270,299,"[1, 3, 0, 0, 0, 0, 2, 1]","[2, 2, 0, 0, 0, 0, 0, 2]",3 4 4 4 6 6 7 7 9 9 10 10 10 J J J K K K A A A 2 2,11,best
tree-v4,270,299,"[1, 2, 0, 0, 0, 0, 2, 0]","[2, 2, 0, 0, 0, 1, 0, 2]",3 7 7 9 9 10 10 10 J J J K K K A A A,7,best
tree-v4,270,299,"[1, 2, 0, 0, 0, 0, 2, 0]","[2, 3, 0, 0, 0, 1, 0, 2]",3 7 7 9 9 10 10 10 J J J K K K A A A,5,best
AI-origin,315,282,"[2, 1, 0, 2, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 5 6 6 6 7 7 8 8 9 10 10 10 10 10 J J Q Q Q Q K K K 2 2,22,best
AI-origin,315,282,"[2, 1, 0, 2, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1]",3 4 5 6 7 7 8 8 9 10 10 10 10 10 J J Q Q Q Q 2 2,18,best
AI-origin,315,282,"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1]",J Q Q Q Q 2 2,17,best
AI-origin,315,282,"[0, 1, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 1]",Q Q Q Q 2 2,16,pass
AI-origin,315,282,"[0, 1, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 2]",Q Q Q Q 2 2,11,pass
AI-origin,315,282,"[0, 1, 0, 0, 0, 1, 0, 0]","[3, 0, 0, 0, 0, 1, 0, 2]",Q Q Q Q 2 2,10,pass
AI-origin,315,282,"[0, 1, 0, 0, 0, 1, 0, 0]","[4, 0, 0, 0, 0, 1, 0, 2]",Q Q Q Q 2 2,9,pass
AI-origin,315,282,"[0, 1, 0, 0, 0, 1, 0, 0]","[5, 0, 0, 0, 0, 1, 0, 2]",Q Q Q Q 2 2,8,pass
AI-origin,315,282,"[0, 1, 0, 0, 0, 1, 0, 0]","[5, 1, 0, 0, 0, 1, 0, 2]",Q Q Q Q 2 2,6,pass
AI-origin,288,307,"[3, 0, 1, 1, 1, 0, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 4 5 5 5 6 7 7 8 8 8 9 9 10 10 J Q Q Q K K K A A A 2,22,best
AI-origin,288,307,"[3, 0, 1, 0, 0, 0, 0, 2]","[0, 0, 0, 1, 1, 0, 0, 0]",3 3 5 5 7 J Q Q Q K K K A A A 2,16,pass
AI-origin,288,307,"[3, 0, 1, 0, 0, 0, 0, 2]","[0, 0, 0, 1, 1, 0, 0, 1]",3 3 5 5 7 J Q Q Q K K K A A A 2,11,best
AI-origin,288,307,"[3, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 1]",7 J A A A 2,7,best
AI-origin,288,307,"[3, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 1, 1, 0, 1]",7 J A A A 2,6,best
AI-origin,288,307,"[2, 0, 1, 0, 0, 0, 0, 0]","[2, 0, 0, 1, 1, 1, 0, 1]",J A A A 2,5,best
AI-origin,298,304,"[5, 4, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",3 4 5 7 7 8 8 8 8 8 9 9 J J J J Q Q K A 2 2,23,best
AI-origin,298,304,"[5, 4, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 0]",3 4 5 7 7 9 9 J J J J Q Q K A 2 2,18,pass
AI-origin,298,304,"[5, 4, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 1]",3 4 5 7 7 9 9 J J J J Q Q K A 2 2,13,pass
AI-origin,298,304,"[5, 4, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 2, 0, 1]",3 4 5 7 7 9 9 J J J J Q Q K A 2 2,12,best
AI-origin,298,304,"[4, 4, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 1]",3 4 7 7 9 9 J J J J Q Q K A 2 2,11,best
AI-origin,298,304,"[3, 4, 0, 0, 0, 1, 0, 0]","[3, 0, 0, 0, 0, 2, 0, 1]",3 4 7 7 9 9 J J J J Q Q A 2 2,10,pass
AI-origin,298,304,"[3, 4, 0, 0, 0, 1, 0, 0]","[4, 0, 0, 0, 0, 2, 0, 1]",3 4 7 7 9 9 J J J J Q Q A 2 2,9,best
AI-origin,298,304,"[1, 4, 0, 0, 0, 1, 0, 0]","[5, 0, 0, 0, 0, 2, 0, 1]",4 7 7 9 9 J J J J Q Q 2 2,8,pass
AI-origin,298,304,"[1, 4, 0, 0, 0, 1, 0, 0]","[5, 1, 0, 0, 0, 2, 0, 1]",4 7 7 9 9 J J J J Q Q 2 2,6,pass
AI-origin,298,304,"[1, 3, 0, 0, 0, 1, 0, 0]","[5, 2, 0, 0, 0, 2, 0, 1]",4 7 7 J J J J Q Q 2 2,4,pass
AI-origin,298,304,"[1, 2, 0, 0, 0, 1, 0, 0]","[5, 3, 0, 0, 0, 2, 0, 1]",4 7 7 J J J J 2 2,2,pass
AI-origin,298,304,"[0, 2, 0, 0, 0, 0, 0, 0]","[6, 3, 0, 0, 0, 2, 0, 1]",7 7 2 2,1,pass
AI-origin,261,276,"[3, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0]",3 6 6 6 6 7 7 7 J Q,21,pass
AI-origin,261,276,"[3, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1]",3 6 6 6 6 7 7 7 J Q,16,pass
AI-origin,261,276,"[3, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1]",3 6 6 6 6 7 7 7 J Q,13,pass
AI-origin,261,276,"[3, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 2]",3 6 6 6 6 7 7 7 J Q,8,pass
AI-origin,261,276,"[3, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 2]",3 6 6 6 6 7 7 7 J Q,7,pass
AI-origin,261,276,"[2, 0, 1, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 0, 0, 1, 2]",3 6 6 6 6 7 7 7 Q,6,pass
AI-origin,261,276,"[1, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 0, 0, 1, 2]",Q,5,pass
tree-v4,279,336,"[2, 3, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",4 4 5 7 7 7 8 8 8 8 9 9 J K K A A A A A 2 2,22,pass
tree-v4,279,336,"[2, 3, 0, 0, 0, 2, 0, 1]","[1, 0, 0, 1, 0, 0, 0, 0]",4 4 5 7 7 7 8 8 8 8 9 9 J K K A A A A A 2 2,21,best
tree-v4,279,336,"[1, 3, 0, 0, 0, 2, 0, 1]","[2, 0, 0, 1, 0, 0, 0, 0]",4 4 7 7 7 8 8 8 8 9 9 J K K A A A A A 2 2,20,best
tree-v4,279,336,"[0, 3, 0, 0, 0, 2, 0, 1]","[3, 0, 0, 1, 0, 0, 0, 0]",4 4 7 7 7 8 8 8 8 9 9 K K A A A A A 2 2,19,pass
tree-v4,279,336,"[0, 3, 0, 0, 0, 2, 0, 1]","[4, 0, 0, 1, 0, 0, 0, 0]",4 4 7 7 7 8 8 8 8 9 9 K K A A A A A 2 2,18,pass
tree-v4,279,336,"[0, 3, 0, 0, 0, 2, 0, 1]","[5, 0, 0, 1, 0, 0, 0, 0]",4 4 7 7 7 8 8 8 8 9 9 K K A A A A A 2 2,17,pass
tree-v4,279,336,"[0, 3, 0, 0, 0, 2, 0, 1]","[5, 0, 0, 2, 0, 0, 0, 0]",4 4 7 7 7 8 8 8 8 9 9 K K A A A A A 2 2,12,pass
tree-v4,279,336,"[0, 3, 0, 0, 0, 2, 0, 1]","[5, 0, 0, 2, 0, 1, 0, 0]",4 4 7 7 7 8 8 8 8 9 9 K K A A A A A 2 2,8,best
tree-v4,279,336,"[0, 3, 0, 0, 0, 1, 0, 1]","[5, 0, 0, 2, 0, 2, 0, 0]",4 4 7 7 7 9 9 K K A A A A A 2 2,4,best
tree-v4,341,271,"[3, 4, 0, 0, 0, 0, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 8 9 10 10 J J Q Q Q K K A A 2,22,pass
tree-v4,341,271,"[3, 4, 0, 0, 0, 0, 1, 2]","[1, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 8 9 10 10 J J Q Q Q K K A A 2,21,best
tree-v4,341,271,"[2, 4, 0, 0, 0, 0, 1, 2]","[1, 0, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 9 10 10 J J Q Q Q K K A A 2,16,pass
tree-v4,341,271,"[2, 4, 0, 0, 0, 0, 1, 2]","[2, 0, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 9 10 10 J J Q Q Q K K A A 2,15,best
tree-v4,341,271,"[1, 4, 0, 0, 0, 0, 1, 2]","[3, 0, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 10 10 J J Q Q Q K K A A 2,14,pass
tree-v4,341,271,"[1, 4, 0, 0, 0, 0, 1, 2]","[3, 1, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 10 10 J J Q Q Q K K A A 2,12,best
tree-v4,341,271,"[1, 3, 0, 0, 0, 0, 1, 2]","[3, 2, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 J J Q Q Q K K A A 2,10,pass
tree-v4,341,271,"[1, 3, 0, 0, 0, 0, 1, 2]","[3, 3, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 J J Q Q Q K K A A 2,8,best
tree-v4,341,271,"[1, 2, 0, 0, 0, 0, 1, 2]","[3, 4, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 Q Q Q K K A A 2,6,best
tree-v4,341,271,"[1, 2, 0, 0, 0, 0, 1, 2]","[3, 5, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 Q Q Q K K A A 2,4,best
tree-v4,341,271,"[1, 1, 0, 0, 0, 0, 1, 2]","[3, 6, 0, 0, 0, 1, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 7 Q Q Q A A 2,2,best
tree-v4,311,278,"[2, 2, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 1, 0, 0]",3 4 5 5 5 6 6 7 7 8 8 8 K K 2 2,23,pass
tree-v4,311,278,"[2, 2, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 1, 0, 1]",3 4 5 5 5 6 6 7 7 8 8 8 K K 2 2,18,pass
tree-v4,311,278,"[2, 2, 0, 0, 0, 0, 0, 2]","[0, 0, 1, 0, 0, 1, 0, 1]",3 4 5 5 5 6 6 7 7 8 8 8 K K 2 2,15,pass
tree-v4,311,278,"[2, 2, 0, 0, 0, 0, 0, 2]","[1, 0, 1, 0, 0, 1, 0, 1]",3 4 5 5 5 6 6 7 7 8 8 8 K K 2 2,14,pass
tree-v4,311,278,"[2, 2, 0, 0, 0, 0, 0, 2]","[1, 1, 1, 0, 0, 1, 0, 1]",3 4 5 5 5 6 6 7 7 8 8 8 K K 2 2,12,best
tree-v4,311,278,"[2, 1, 0, 0, 0, 0, 0, 2]","[1, 2, 1, 0, 0, 1, 0, 1]",3 4 5 5 5 6 6 7 7 8 8 8 2 2,10,best
tree-v4,311,278,"[2, 0, 0, 0, 0, 0, 0, 2]","[1, 2, 1, 0, 0, 2, 0, 1]",3 4 5 5 5 6 6 7 7 8 8 8,6,best
AI-origin,287,285,"[3, 5, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3 4 4 4 5 5 5 6 7 7 8 9 9 10 10 10 10 J J Q Q Q K A A 2 2,22,pass
AI-origin,287,285,"[3, 5, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",3 4 4 4 5 5 5 6 7 7 8 9 9 10 10 10 10 J J Q Q Q K A A 2 2,17,best
AI-origin,287,285,"[2, 5, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1]",5 5 7 9 9 10 10 10 10 J J K A A 2 2,16,best
AI-origin,287,285,"[1, 5, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 0, 0, 0, 1]",5 5 9 9 10 10 10 10 J J K A A 2 2,15,best
AI-origin,287,285,"[0, 5, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 1]",5 5 9 9 10 10 10 10 J J A A 2 2,11,best
AI-origin,287,285,"[0, 4, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 1, 0, 1, 0, 1]",9 9 J J A A 2 2,9,best
AI-origin,287,285,"[0, 3, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 1, 0, 1, 0, 1]",J J A A 2 2,7,best
AI-origin,287,285,"[0, 2, 0, 0, 0, 0, 0, 0]","[2, 3, 0, 1, 0, 1, 0, 1]",J J 2 2,5,best
AI-origin,287,285,"[0, 2, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 1, 0, 1, 0, 1]",J J 2 2,4,best
AI-origin,287,285,"[1, 1, 0, 0, 0, 0, 0, 0]","[4, 3, 0, 1, 0, 1, 0, 1]",J 2 2,3,best
AI-origin,287,285,"[1, 0, 0, 0, 0, 0, 0, 0]","[5, 3, 0, 1, 0, 1, 0, 1]",2,2,best
tree-v4,304,313,"[1, 1, 0, 0, 0, 2, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 4 4 4 5 5 6 6 6 7 7 8 8 8 8 J J J Q A A 2 2 2 2 2,22,pass
tree-v4,304,313,"[1, 1, 0, 0, 0, 2, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 4 4 4 5 5 6 6 6 7 7 8 8 8 8 J J J Q A A 2 2 2 2 2,17,best
tree-v4,304,313,"[1, 1, 0, 0, 0, 2, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 2]",3 3 4 4 4 5 5 6 6 6 8 8 8 8 Q A A 2 2 2 2 2,12,pass
tree-v4,304,313,"[1, 1, 0, 0, 0, 2, 0, 2]","[1, 0, 0, 1, 0, 0, 0, 2]",3 3 4 4 4 5 5 6 6 6 8 8 8 8 Q A A 2 2 2 2 2,11,best
tree-v4,304,313,"[0, 1, 0, 0, 0, 2, 0, 2]","[2, 0, 0, 1, 0, 0, 0, 2]",3 3 4 4 4 5 5 6 6 6 8 8 8 8 A A 2 2 2 2 2,10,pass
tree-v4,304,313,"[0, 1, 0, 0, 0, 2, 0, 2]","[2, 1, 0, 1, 0, 0, 0, 2]",3 3 4 4 4 5 5 6 6 6 8 8 8 8 A A 2 2 2 2 2,8,best
tree-v4,304,313,"[0, 0, 0, 0, 0, 2, 0, 2]","[2, 1, 0, 1, 0, 1, 0, 2]",3 3 4 4 4 5 5 6 6 6 8 8 8 8 2 2 2 2 2,4,best
tree-v4,363,261,"[3, 2, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 1, 0, 0]",3 3 3 4 4 5 5 5 5 5 6 6 6 8 8 10 Q Q K A A A,23,best
tree-v4,363,261,"[3, 2, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 2, 0, 0]",3 3 3 4 4 6 6 6 8 8 10 Q Q K A A A,17,pass
tree-v4,363,261,"[3, 2, 0, 0, 0, 0, 0, 2]","[1, 0, 0, 0, 0, 2, 0, 0]",3 3 3 4 4 6 6 6 8 8 10 Q Q K A A A,16,best
tree-v4,363,261,"[2, 2, 0, 0, 0, 0, 0, 2]","[2, 0, 0, 0, 0, 2, 0, 0]",3 3 3 4 4 6 6 6 8 8 Q Q K A A A,15,best
tree-v4,363,261,"[1, 2, 0, 0, 0, 0, 0, 2]","[2, 0, 0, 0, 0, 3, 0, 0]",3 3 3 4 4 6 6 6 8 8 Q Q A A A,11,pass
tree-v4,363,261,"[1, 2, 0, 0, 0, 0, 0, 2]","[2, 0, 0, 0, 1, 3, 0, 0]",3 3 3 4 4 6 6 6 8 8 Q Q A A A,5,pass
tree-v4,275,274,"[2, 2, 0, 1, 0, 0, 1, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 3 4 5 6 6 6 7 7 8 8 8 9 9 9 10 10 10 J J Q K K A A A,22,pass
tree-v4,275,274,"[2, 2, 0, 1, 0, 0, 1, 2]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 3 4 5 6 6 6 7 7 8 8 8 9 9 9 10 10 10 J J Q K K A A A,17,best
tree-v4,275,274,"[2, 2, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 1]",3 3 3 4 5 6 7 7 8 8 8 9 9 9 10 10 10 J J Q K K,13,pass
tree-v4,275,274,"[2, 2, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 1, 0, 1]",3 3 3 4 5 6 7 7 8 8 8 9 9 9 10 10 10 J J Q K K,12,best
tree-v4,275,274,"[1, 2, 0, 1, 0, 0, 1, 1]","[2, 0, 0, 1, 0, 1, 0, 1]",3 3 3 4 5 6 7 7 8 8 8 9 9 9 10 10 10 J J K K,11,pass
tree-v4,275,274,"[1, 2, 0, 1, 0, 0, 1, 1]","[3, 0, 0, 1, 0, 1, 0, 1]",3 3 3 4 5 6 7 7 8 8 8 9 9 9 10 10 10 J J K K,10,pass
tree-v4,275,274,"[1, 2, 0, 1, 0, 0, 1, 1]","[3, 1, 0, 1, 0, 1, 0, 1]",3 3 3 4 5 6 7 7 8 8 8 9 9 9 10 10 10 J J K K,8,best
tree-v4,275,274,"[1, 1, 0, 1, 0, 0, 1, 1]","[3, 2, 0, 1, 0, 1, 0, 1]",3 3 3 4 5 6 7 7 8 8 8 9 9 9 10 10 10 K K,6,best
tree-v4,298,323,"[4, 3, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",3 4 5 6 6 6 8 8 8 8 9 9 Q K K A A 2 2 2 2,23,best
tree-v4,298,323,"[4, 3, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 0]",3 4 5 6 6 6 9 9 Q K K A A 2 2 2 2,19,best
tree-v4,298,323,"[3, 3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 2, 0, 0]",4 5 9 9 Q K K A A,18,best
tree-v4,298,323,"[2, 3, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 0]",4 5 9 9 K K A A,17,pass
tree-v4,298,323,"[2, 3, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 1]",4 5 9 9 K K A A,12,pass
tree-v4,298,323,"[2, 3, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 2, 0, 1]",4 5 9 9 K K A A,11,pass
tree-v4,298,323,"[2, 3, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 2, 0, 1]",4 5 9 9 K K A A,10,pass
tree-v4,298,323,"[2, 3, 0, 0, 0, 0, 0, 0]","[4, 1, 0, 0, 0, 2, 0, 1]",4 5 9 9 K K A A,8,best
tree-v4,298,323,"[2, 2, 0, 0, 0, 0, 0, 0]","[4, 2, 0, 0, 0, 2, 0, 1]",4 5 K K A A,6,best
tree-v4,298,323,"[2, 1, 0, 0, 0, 0, 0, 0]","[4, 3, 0, 0, 0, 2, 0, 1]",4 5 A A,4,best
tree-v4,298,323,"[2, 1, 0, 0, 0, 0, 0, 0]","[4, 4, 0, 0, 0, 2, 0, 1]",4 5 A A,2,best
tree-v4,298,323,"[1, 0, 0, 0, 0, 0, 0, 0]","[5, 4, 0, 0, 0, 2, 0, 1]",5,1,best
tree-v4,311,287,"[2, 0, 1, 0, 2, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0]",4 5 5 7 7 8 8 9 9 10 J J J Q Q K K A A 2 2 2,23,pass
tree-v4,311,287,"[2, 0, 1, 0, 2, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",4 5 5 7 7 8 8 9 9 10 J J J Q Q K K A A 2 2 2,18,best
tree-v4,311,287,"[2, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 1]",4 10 2 2 2,14,pass
tree-v4,311,287,"[2, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 2, 0, 1]",4 10 2 2 2,13,best
tree-v4,311,287,"[1, 0, 1, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 2, 0, 1]",4 2 2 2,12,pass
tree-v4,311,287,"[1, 0, 1, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 2, 0, 1]",4 2 2 2,11,pass
tree-v4,311,287,"[1, 0, 1, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 2, 0, 1]",4 2 2 2,10,pass
tree-v4,311,287,"[1, 0, 1, 0, 0, 0, 0, 0]","[4, 1, 0, 0, 0, 2, 0, 1]",4 2 2 2,8,pass
tree-v4,311,287,"[1, 0, 1, 0, 0, 0, 0, 0]","[4, 2, 0, 0, 0, 2, 0, 1]",4 2 2 2,6,pass
tree-v4,311,287,"[2, 0, 0, 0, 0, 0, 0, 0]","[4, 2, 0, 0, 0, 3, 0, 1]",4 2,2,pass
tree-v4,296,308,"[2, 5, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0]",3 3 5 6 6 7 7 7 8 8 9 9 9 10 10 10 J J J J Q Q K K A 2 2,24,pass
tree-v4,296,308,"[2, 5, 0, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 0]",3 3 5 6 6 7 7 7 8 8 9 9 9 10 10 10 J J J J Q Q K K A 2 2,23,pass
tree-v4,296,308,"[2, 5, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 0]",3 3 5 6 6 7 7 7 8 8 9 9 9 10 10 10 J J J J Q Q K K A 2 2,21,best
tree-v4,296,308,"[2, 4, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0]",3 3 5 6 6 7 7 7 8 8 9 9 9 10 10 10 J J J J K K A 2 2,16,pass
tree-v4,296,308,"[2, 4, 0, 0, 0, 1, 1, 1]","[1, 2, 1, 0, 0, 1, 0, 0]",3 3 5 6 6 7 7 7 8 8 9 9 9 10 10 10 J J J J K K A 2 2,14,best
tree-v4,296,308,"[2, 3, 0, 0, 0, 1, 1, 1]","[1, 2, 1, 0, 0, 2, 0, 0]",3 3 5 6 6 7 7 7 8 8 9 9 9 10 10 10 J J J J A 2 2,10,best
tree-v4,296,308,"[2, 3, 0, 0, 0, 0, 1, 1]","[1, 2, 1, 0, 0, 3, 0, 0]",3 3 5 6 6 7 7 7 8 8 9 9 9 10 10 10 A 2 2,5,best
tree-v4,297,304,"[4, 1, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",3 5 5 6 7 8 8 10 10 10 10 10 J J J Q Q Q K 2 2 2,22,best
tree-v4,297,304,"[4, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 1]",3 6 7 8 8 10 10 10 10 10 J J J Q Q Q K,18,best
tree-v4,297,304,"[4, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 1]",3 6 7 8 8 K,14,pass
tree-v4,297,304,"[4, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 2, 0, 1]",3 6 7 8 8 K,9,pass
